Investment Time	Company Name	Website	Business Area	Round	Investment $	Segment in MS	Azure(Y/N)	Ali(Y/N)	AWS(Y/N)	cloud service they use	url	agent
21-Jun-14	????AutoRadio	www.autoradio.cn	????	B?	2????						http://www.autoradio.cn	CNLink Network Technology Ltd.
1-Oct-11	????AutoRadio	www.autoradio.cn	????	A?	?????						http://www.autoradio.cn	CNLink Network Technology Ltd.
1-Oct-11	????AutoRadio	www.autoradio.cn	????	A?	?????						http://www.autoradio.cn	CNLink Network Technology Ltd.
16-Jun-14	?????	www.xiaozhu.com	????	B?	1500???						http://www.xiaozhu.com	"CNISP-Union Technology (Beijing) Co., Ltd"
24-Apr-14	????	www.renruihr.com	????	B?	??????						http://www.renruihr.com	"Aliyun Computing Co., LTD"
24-Apr-14	????	www.renruihr.com	????	B?	??????						http://www.renruihr.com	"Aliyun Computing Co., LTD"
1-May-12	????	www.renruihr.com	????	A?	??????						http://www.renruihr.com	"Aliyun Computing Co., LTD"
1-May-12	????	www.renruihr.com	????	A?	??????						http://www.renruihr.com	"Aliyun Computing Co., LTD"
1-Apr-14	???	www.yilule.com	??	A?	???						http://www.yilule.com	"Aliyun Computing Co., LTD"
18-Jan-14	??????Everimaging	www.everimaging.com	????	B?	??????						http://www.everimaging.com	Amazon Technologies Inc.
18-Jan-14	??????Everimaging	www.everimaging.com	????	B?	??????						http://www.everimaging.com	Amazon Technologies Inc.
20-Feb-12	??????Everimaging	www.everimaging.com	????	A?	??????						http://www.everimaging.com	Amazon Technologies Inc.
20-Feb-12	??????Everimaging	www.everimaging.com	????	A?	??????						http://www.everimaging.com	Amazon Technologies Inc.
1-Jan-14	ZEPP	http://www.zepp.com/	??	B?	1500???						http://www.zepp.com/	Cloud Loadbalancing as a Service-LBaaS (DFW)
1-Jan-14	ZEPP	http://www.zepp.com/	??	B?	1500???						http://www.zepp.com/	Cloud Loadbalancing as a Service-LBaaS (DFW)
1-Jan-13	ZEPP	http://www.zepp.com/	??	A?	500???						http://www.zepp.com/	Cloud Loadbalancing as a Service-LBaaS (DFW)
1-Jan-13	ZEPP	http://www.zepp.com/	??	A?	500???						http://www.zepp.com/	Cloud Loadbalancing as a Service-LBaaS (DFW)
16-Dec-13	????-?????	www.howbuy.com	??	B?	??????						http://www.howbuy.com	CHINANET Guangdong province network
28-Sep-13	Social Touch????	www.social-touch.com	????	C?	?????						http://www.social-touch.com	"Beijing Sankuai Technology Co.,Ltd."
